code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
P06,symptom,P.1,Sleep disturbance,睡眠障碍,Sleep disturbance,睡眠障碍,insomnia; nightmares; sleep apnoea; sleepwalking,失眠；梦魇；睡眠呼吸暂停；睡行症,somnolence ,嗜睡,"sleep disturbance as a diagnosis requires that the sleeping problem forms a major complaint, which, according to both patient and doctor, is not caused by another disorder but is a condition in its own right. Insomnia requires a quantitative or qualitative deficiency of sleep which is unsatisfactory in the patients' opinion, over a considerable period of time. In hypersomnia excessive daytime sleepiness and sleep attacks exist which limit the patient's performance",睡眠障碍作为一个诊断要求患者的睡眠问题构成主要的主诉，根据患者和医生的意见，该问题不是由其他疾病引起，而是作为一种独立的状态存在。失眠表现为一段时间内睡眠量或质量不足，且患者认为不满意。在过度嗜睡症中，白天过度困倦和睡眠发作限制了患者的性能,,,,,F51.0; F51.1; F51.2; F51.3; F51.4; F51.5; F51.8; F51.9; G47.0; G47.1; G47.2; G47.3; G47.4; G47.8; G47.9
P07,symptom,P.1,Sexual desire reduced,性欲减退,Sexual desire reduced,性欲减退,frigidity; loss of libido,性冷淡；性欲减退,non-organic impotence/loss of sexual fulfilment ,非器质性阳痿/性满足丧失,"sexual problems with regard to desire not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of lack of desire, failure of genital response or function",与欲望有关的性问题，不是由任何器质性疾病引起的，而是反映了患者由于缺乏欲望、生殖器反应或功能障碍而无法参与其希望拥有的性关系的事实,,,,,F52.0
P08,symptom,P.1,Sexual fulfilment reduced,性满足减少,Sexual fulfilment reduced,性满足减少,non-organic impotence or dyspareunia; premature ejaculation; vaginismus of psychogenic origin,非器质性阳痿或痛性交；早泄；心理性阴道痉挛,sexual problems with desire ,性欲问题,"sexual problems with regard to fulfilment not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of failure of genital response or function, or problems with sexual development",与满足相关的性问题，不是由任何器质性疾病引起的，而是反映了患者由于生殖器反应或功能失败或性发育问题而无法参与其希望的性关系的能力不足,,,,,F52.1; F52.2; F52.3; F52.4; F52.5; F52.6; F52.7; F52.8; F52.9
P09,symptom,P.1,Sexual preference concern,性偏好关注,Sexual preference concern,性偏好关注,,,reduced sexual desire ,性欲减退,"sexual problems with regard to preference not caused by any organic disorder or disease, but a reflection of the inability of a patient to participate in the sexual relationship s/he wants because of problems with sexual identity, preference or orientation",与性别偏好有关的性问题，不是由任何器质性疾病引起的，而是由于性别认同、偏好或倾向的问题导致患者无法参与其希望的性关系的一种表现,,,,,F64.0; F64.1; F64.2; F64.8; F64.9; F65.0; F65.1; F65.2; F65.3; F65.4; F65.5; F65.6; F65.8; F65.9; F66.0; F66.1; F66.2; F66.8; F66.9
P10,symptom,P.1,Stammering/stuttering/tic,口吃/结巴/Tic,Stammering/stuttering/tic,口吃/结巴/Tic,,,speech disorders ,言语障碍,"stammering and stuttering: is characterized by frequent repetitions/prolongations of sounds, or by frequent hesitations/pauses disrupting speech",口吃：表现为音素的频繁重复或延长，或者由于频繁的犹豫/停顿而打断言语,,,,,F95.0; F95.1; F95.2; F95.8; F95.9; F98.4; F98.5; F98.6
P11,symptom,P.1,Eating problem in child,儿童摄食问题,Eating problem in child,儿童摄食问题,feeding problem; problem with eating behaviour of child,喂养问题；儿童进食行为问题,anorexia nervosa ,神经性厌食症,,,,,"Problems with behaviour of children are particularly difficult to classify, which is illustrated by the fact that they are distributed over four chapters of ICPC. Whether or not parents present these problems to a GP will reflect their ideas about the gradual differences between normal - though maybe annoying - behaviour, and behaviour that is considered worrying or 'pathological'",儿童行为问题特别难以分类，这一点从它们分布在ICPC的四个章节中可以看出。父母是否向全科医生提出这些问题反映了他们对正常但可能令人烦恼的行为与被认为是令人担忧或“病态”的行为之间渐进差异的看法,F98.2; F98.3
P12,symptom,P.1,Bedwetting/enuresis,遗尿症,Bedwetting/enuresis,遗尿症,,,bedwetting due to organic disorder ,由器质性障碍引起的遗尿症,involuntary voiding of urine by day/night not determined to be related to any organic disorder,日间/夜间非自主性尿失禁未确定与任何器质性疾病相关,,,"Problems with behaviour of children are particularly difficult to classify, which is illustrated by the fact that they are distributed over four chapters of ICPC. Whether or not parents present these problems to a GP will reflect their ideas about the gradual differences between normal - though maybe annoying - behaviour, and behaviour that is considered worrying or 'pathological'",儿童行为问题特别难以分类，这一点从它们分布在ICPC的四个章节中可以看出。父母是否向全科医生提出这些问题反映了他们对正常但可能令人烦恼的行为与被认为是令人担忧或“病态”的行为之间渐进差异的看法,F98.0
P13,symptom,P.1,Encopresis/bowel training problem,遗粪症/排便训练问题,Encopresis/bowel training problem,遗粪症/排便训练问题,,,,,"encopresis requires repeated passage of usually well formed faeces in inappropriate places, considered abnormal in relation to age, and not caused by constipation/sphincter control disorder/another disease",遗粪症，反复在不适当的地方排出通常成型的粪便，根据年龄视为异常，并非由便秘/括约肌控制障碍/其他疾病引起,,,,,F98.1
P15,symptom,P.1,Chronic alcohol abuse,慢性酒精滥用,Chronic alcohol abuse,慢性酒精滥用,alcohol brain syndrome; alcohol psychosis; alcoholism; delirium tremens,酒精脑病综合征；酒精精神病；酒依赖；震颤谵妄,,,a disorder due to the use of alcohol resulting in one or more of the following: harmful use with clinically important damage to health; dependence syndrome; withdrawal state; psychotic disorder,由于酒精使用引起的一种障碍，表现为以下一项或多项情况：有害使用导致重要的健康损害；依赖综合征；戒断状态；精神病性障碍,,,"Substance abuse problem definitions should take into account the considerable differences between countries and cultures. A doctor can decide to label an episode as 'chronic alcohol abuse'  without the patient's agreement, and consequently also without the patient's  willingness to any medical intervention.",物质滥用问题的定义应考虑各国和各文化之间的显著差异。医生可以在不征得患者同意的情况下，将某一事件标定为“慢性酒精滥用”，从而也可能在没有患者愿意接受任何医疗干预的情况下进行。,F10.1; F10.2; F10.3; F10.4; F10.5; F10.6; F10.7; F10.8; F10.9; G31.2
P16,symptom,P.1,Acute alcohol abuse,急性酒精滥用,Acute alcohol abuse,急性酒精滥用,drunk,醉酒,,,"a disorder due to the use of alcohol resulting in acute intoxication, with/without a background of chronic abuse",由于酒精使用导致的急性中毒，伴有/不伴有慢性滥用背景,,,"A doctor can decide to label an episode as 'acute alcohol abuse' without the  patient's agreement, and consequently also without the patient's  willingness to agree to any medical intervention.",医生可以在没有患者同意的情况下将一次发作标记为“急性酒精滥用”，因此也不需要患者的同意来进行任何医疗干预。,F10.0
P17,symptom,P.1,Tobacco abuse,烟草滥用,Tobacco abuse,烟草滥用,smoking problem,吸烟问题,,,a disorder due to the use of tobacco resulting in one or more of the following: acute intoxication; harmful use with clinically important damage to health; dependence syndrome; withdrawal state,由于使用烟草引起的一种障碍，导致出现下列一种或多种情况：急性中毒；有害使用并造成临床重要的健康损害；依赖综合征；戒断状态,risk factor NOS ,未特指的风险因素 NOS,"Substance abuse problem definitions should take into account the considerable differences between countries and cultures. An alcohol dependent or heroin addicted patient needs medical attention, but the definitions of 'tobacco abuse' are controversial. A physician can decide to label an episode as 'tobacco abuse' without the patients agreement, and consequently also without the'patient's willingness to agree to any medical intervention",物质滥用问题的定义应考虑各国和各文化之间的显著差异。酒精依赖或海洛因成瘾的患者需要医疗关注，但“烟草滥用”的定义存在争议。医生可以在不征得患者同意的情况下将某一事件标记为“烟草滥用”，并且因此也不必获得患者对任何医疗干预的同意。,F17.0; F17.1; F17.2; F17.3; F17.4; F17.5; F17.6; F17.7; F17.8; F17.9
P18,symptom,P.1,Medication abuse,药物滥用,Medication abuse,药物滥用,abuse of any prescribed drug,滥用任何处方药物,,,,,,,"Substance abuse problem definitions should take into account the considerable differences between countries and cultures. Some patients request and use tranquillizers, sleeping tablets, anorectics or laxatives inappropriately and for too long. In these cases physicians can decide to label the episode as 'medicine abuse' without the patients' agreement, and consequently also without the patient's willingness to agree to any medical intervention.",物质滥用问题的定义应考虑各国和各文化之间的显著差异。一些患者不恰当地请求并使用镇静剂、安眠药、食欲抑制剂或缓泻剂，且时间过长。在这种情况下，医生可以在没有患者同意的情况下将这种情况标记为“药物滥用”，因此也不需要患者的同意接受任何医疗干预。,F13.0; F13.1; F13.2; F13.3; F13.4; F13.5; F13.6; F13.7; F13.8; F13.9; F19.0; F19.1; F19.2; F19.3; F19.4; F19.5; F19.6; F19.7; F19.8; F19.9; F55
P19,symptom,P.1,Drug abuse,药物滥用,Drug abuse,药物滥用,addiction to drug; drug withdrawal,药物成瘾；戒断症状,,,"a disorder due to the use of a dependence producing psychoactive substance, resulting in one or more ofthe following conditions: acute intoxication; harmful use with clinically important damage to health; dependence syndrome; withdrawal state; psychotic disorder",由于使用成瘾性精神活性物质所致的障碍，导致下列一种或多种情况：急性中毒；有害使用并造成临床重要的健康损害；依赖综合征；戒断状态；精神病性障碍,,,"Substance abuse problem definitions should take into account the considerable differences between countries and cultures. An alcohol dependent or heroin addicted patient needs medical attention, but the definitions of 'use of hashish' are controversial. Doctors can decide to label an episode as 'drug abuse' without the patient's agreement, and consequently also without the patient's willingness to agree to any medical intervention.",物质滥用问题的定义应考虑到各国和各文化之间的显著差异。酒精依赖或海洛因成瘾的患者需要医疗关注，但“使用大麻树脂”的定义存在争议。医生可以在没有患者同意的情况下将一次事件标记为“药物滥用”，因此也可能在没有患者愿意接受任何医疗干预的情况下进行。,F11.0; F11.1; F11.2; F11.3; F11.4; F11.5; F11.6; F11.7; F11.8; F11.9; F12.0; F12.1; F12.2; F12.3; F12.4; F12.5; F12.6; F12.7; F12.8; F12.9; F13.0; F13.1; F13.2; F13.3; F13.4; F13.5; F13.6; F13.7; F13.8; F13.9; F14.0; F14.1; F14.2; F14.3; F14.4; F14.5; F14.6; F14.7; F14.8; F14.9; F15.0; F15.1; F15.2; F15.3; F15.4; F15.5; F15.6; F15.7; F15.8; F15.9; F16.0; F16.1; F16.2; F16.3; F16.4; F16.5; F16.6; F16.7; F16.8; F16.9; F18.0; F18.1; F18.2; F18.3; F18.4; F18.5; F18.6; F18.7; F18.8; F18.9; F19.0; F19.1; F19.2; F19.3; F19.4; F19.5; F19.6; F19.7; F19.8; F19.9
P20,symptom,P.1,Memory disturbance,记忆障碍,Memory disturbance,记忆障碍,amnesia; disorientation; disturbance of concentration,遗忘；定向障碍；注意力紊乱,,,,,,,,,R41.0; R41.1; R41.2; R41.3; R41.8
P22,symptom,P.1,Child behaviour symptom/complaint,儿童行为症状/主诉,Child behaviour symptom/complaint,儿童行为症状/主诉,delayed milestones; jealousy; overactive child; speech delay; temper tantrum,发育迟缓；嫉妒；过度活跃儿童；语言延迟；发脾气,"behaviour symptom/complaint adolescent, ","行为症状/主诉青少年,",,,,,,,F91.0; F91.1; F91.2; F91.3; F91.8; F91.9; F92.0; F92.8; F92.9; F93.0; F93.1; F93.2; F93.3; F93.8; F93.9; F94.0; F94.1; F94.2; F94.8; F94.9; F98.8; F98.9; R62.0
P23,symptom,P.1,Adolescent behaviour symptom/complaint,青少年行为症状/主诉,Adolescent behaviour sympt/compl,青少年行为症状/主诉,delinquency,拖欠,behavior symptom/complaint child ,行为症状/主诉儿童,,,,,,,F91.0; F91.1; F91.2; F91.3; F91.8; F91.9; F92.0; F92.8; F92.9; F94.0; F94.1; F94.2; F94.8; F94.9; F98.8; F98.9
P24,symptom,P.1,Specific learning problem,特定学习障碍,Specific learning problem,特定学习障碍,dyslexia,阅读障碍,attention deficit disorder ,注意缺陷障碍,"specific speech, language and learning problems with onset in childhood, together with an impairment of functions related to biological maturation of the central nervous system, and a steady course over time without spontaneous remissions or relapses, although the deficit may diminish as the child grows older",儿童期起病的具体言语、语言和学习问题，伴有与中枢神经系统生物成熟相关的功能障碍，并且随时间呈稳定进程，无自发缓解或复发，尽管随着孩子年龄的增长，缺陷可能会减轻,,,,,F80.0; F80.1; F80.2; F80.3; F80.8; F80.9; F81.0; F81.1; F81.2; F81.3; F81.8; F81.9; F82; F83; R48.0; R48.1; R48.2; R48.8
P25,symptom,P.1,Phase of life problem adult,生命阶段问题 成人期,Phase of life problem adult,生命阶段问题 成人期,empty nest syndrome; mid-life crisis; retirement problem,空巢综合征；中年危机；退休问题,feeling/behaving old ,感觉/表现衰老,,,,,,,Z60.0
P27,symptom,P.1,Fear of mental disorder,精神障碍恐惧症,Fear of mental disorder,精神障碍恐惧症,concern about mental disease; fear of attempting suicide,疑有精神疾病；自杀恐惧,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of mental disease in a patient without the disease/until the diagnosis is proven,疑病/恐病症（于未患病患者/直至诊断明确之前）,,,,,Z71.1
P28,symptom,P.1,Limited function/disability (P),有限功能/残疾 (P),Limited function/disability (P),有限功能/残疾 (P),low self-esteem,低自尊心,,,limitation of function/disability due to a psychological problem,由于心理问题的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6
P29,symptom,P.1,Psychological symptom/complaint other,其他心理症状/主诉,Psychological sympt/compl other,其他心理症状/主诉,delusions; eating disorders NOS; hallucinations; multiple psychological symptoms/complaints; poor hygiene; strange behaviour; suspiciousness,妄想；饮食障碍NOS；幻觉；多种心理症状/主诉；个人卫生差；怪异行为；猜疑心重,tension headache ,紧张性头痛,,,,,,,F50.8; F50.9; F63.3; F98.8; F98.9; R44.0; R44.1; R44.2; R44.3; R44.8; R45.7; R45.8; R46.0; R46.1; R46.2; R46.3; R46.4; R46.5; R46.6; R46.7; R46.8; R63.6; Z64.2; Z64.3; Z73.0; Z73.1; Z73.3
P70,otherDiagnosis,P.7,Dementia,痴呆症,Dementia,痴呆症,Alzheimer's disease; senile dementia,阿尔茨海默病；老年痴呆症,,,"a syndrome due to a disease of the brain, usually of a chronic and/or progressive nature, with clinically significant disturbance of multiple higher cortical functions (memory, thinking, orientation, comprehension), together with intact consciousness",由脑部疾病引起的综合征，通常是慢性进行性的，伴有多个高级皮质功能（记忆、思维、定向、理解）的临床显著障碍，同时意识完好,senility ,老年期痴呆,,,F00.0; F00.1; F00.2; F00.9; F01.0; F01.1; F01.2; F01.3; F01.8; F01.9; F02.0; F02.1; F02.2; F02.3; F02.4; F02.8; F03; G30.0; G30.1; G30.8; G30.9
P71,otherDiagnosis,P.7,Organic psychosis other,其他原因引起的器官性精神病,Organic psychosis other,其他原因引起的器官性精神病,delirium,谵妄,psychosis caused by alcohol ,酒精所致精神病,"organic psychiatric disorders as a diagnosis require psychological syndromes, patterns or behaviour due to organic disease",器质性精神病的诊断需要由于器质性疾病引起的心理综合征、模式或行为,,,,,F04; F05.0; F05.1; F05.8; F05.9; F06.0; F06.1; F06.2; F06.3; F06.4; F06.5; F06.6; F06.7; F06.8; F06.9; F07.0; F07.1; F07.2; F07.8; F07.9; F09
P72,otherDiagnosis,P.7,Schizophrenia,精神分裂症,Schizophrenia,精神分裂症,all types of paranoia; all types of schizophrenia,所有类型的偏执；所有类型的精神分裂症,acute/transient psychosis ,急性/短暂性精神病障碍,"fundamental and characteristic distortions of thinking, perception and affect that are inappropriate or blunted (eg. thought-echo, -insertion, -withdrawal, delusional perceptions, hallucinatory voices, delusions of control), together with a clear consciousness and unaffected intellectual capacity.",基本的和特征性的思维、感知和情感的扭曲，这些扭曲是不适当的或迟钝的（例如思维回声、思维插入、思维被夺走、妄想性知觉、幻听、控制妄想），并伴有清晰的意识和未受影响的智力功能。,psychosis NOS ,精神病性障碍 NOS,,,F20.0; F20.1; F20.2; F20.3; F20.4; F20.5; F20.6; F20.8; F20.9; F21; F22.0; F22.8; F22.9; F24; F25.0; F25.1; F25.2; F25.8; F25.9; F28
